math,english,kiswahili,biology,chemistry,physics,geography,history,business,computer,cre,agriculture,analytical_skill,numerical_skill,communication_skill,creativity_skill,technical_skill,leadership_skill,social_skill,physical_skill,artistic_skill,entrepreneurial_skill,recommended_career,career_cluster
1,10,5,10,5,5,12,10,4,10,10,12,2,1,9,5,10,9,7,1,4,4,Judge,Law & Governance
12,12,10,1,4,8,11,9,2,7,5,6,5,1,9,10,3,6,8,9,8,4,Lecturer,Education
11,2,2,3,11,7,4,7,12,7,8,1,5,9,5,4,10,10,10,10,1,9,Banker,Business & Finance
7,3,10,11,10,10,6,6,5,12,10,11,8,5,6,5,3,3,9,8,3,9,Doctor,Health Sciences
2,11,5,3,6,10,8,9,7,6,6,6,6,6,9,7,6,9,4,4,7,8,Judge,Law & Governance
10,7,4,11,7,11,6,5,5,12,3,6,9,9,9,7,9,4,10,5,2,4,Electrical Engineer,Engineering & Technology
3,12,6,8,2,1,5,11,12,8,4,10,8,7,10,2,10,2,1,2,4,9,Hotel Manager,Hospitality & Tourism
11,5,7,9,3,11,3,4,11,11,12,10,9,9,2,9,9,10,8,6,3,8,AI Engineer,ICT & Computing
9,6,5,2,1,11,6,3,8,11,1,7,9,1,5,5,2,6,1,6,8,6,Automotive Technician,Skilled Trades & Technical
12,8,12,9,1,5,12,3,12,11,4,5,9,9,6,4,10,3,2,8,5,9,Banker,Business & Finance
5,12,11,9,3,9,10,5,3,12,7,9,8,5,3,9,9,9,2,8,9,7,Forester,Agriculture & Environment
12,2,2,2,10,11,2,4,10,9,1,3,9,9,9,3,9,10,9,5,7,10,Software Developer,ICT & Computing
5,5,6,8,1,9,3,4,6,9,8,1,8,7,5,4,7,10,1,8,7,5,Marine Engineer,Transport & Aviation
10,7,4,4,1,4,11,6,7,4,2,10,1,8,3,8,7,10,7,3,3,8,Hotel Manager,Hospitality & Tourism
9,1,2,11,10,2,2,12,10,11,5,4,2,9,8,1,8,9,3,3,5,9,Economist,Business & Finance
3,5,6,6,3,12,4,5,3,8,7,7,7,9,1,9,4,4,7,6,9,10,Animator,Creative Arts & Media
4,5,3,5,7,6,3,2,6,4,2,10,4,9,5,3,9,9,9,4,1,7,Chef,Hospitality & Tourism
12,12,4,6,7,11,6,7,4,8,10,5,8,5,7,2,6,4,5,10,1,9,Police Officer,Security & Defense
10,12,5,7,3,6,8,11,7,2,11,1,4,10,9,2,7,9,8,7,7,1,Public Administrator,Law & Governance
4,8,12,11,9,3,12,10,3,3,8,11,8,5,5,2,3,7,9,8,3,6,Doctor,Health Sciences
11,8,12,9,6,10,5,8,6,2,6,10,6,6,5,6,3,6,9,2,5,3,Electrician,Skilled Trades & Technical
11,5,4,12,6,10,10,11,5,12,4,9,9,9,9,1,9,3,4,2,8,6,Data Scientist,ICT & Computing
9,4,10,12,5,10,10,2,12,3,12,12,10,9,5,9,7,8,7,9,6,8,Pilot,Transport & Aviation
11,5,6,5,5,2,2,2,12,9,7,5,8,9,8,8,6,10,9,6,10,9,Economist,Business & Finance
11,11,8,10,9,10,4,10,3,8,4,1,1,4,9,9,3,9,1,10,2,9,Judge,Law & Governance
11,2,1,11,10,4,7,5,1,11,8,8,7,10,10,7,7,8,1,5,4,6,Military Officer,Security & Defense
8,5,3,3,6,7,11,5,3,6,2,1,8,9,3,5,10,5,3,7,8,9,Welder,Skilled Trades & Technical
10,10,12,12,9,11,6,1,8,10,8,7,9,9,9,5,9,10,4,8,9,4,Software Developer,ICT & Computing
9,10,4,4,8,2,6,9,6,4,10,12,8,2,9,4,8,9,9,6,1,6,Lawyer,Law & Governance
2,12,2,5,9,11,5,5,9,6,2,12,5,10,9,4,6,9,5,8,7,1,Education Officer,Education
4,1,11,2,2,6,2,5,5,7,8,7,3,8,4,8,8,6,4,4,3,8,Police Officer,Security & Defense
1,8,5,9,3,10,10,7,12,9,9,12,10,7,10,3,8,1,8,7,3,6,Forester,Agriculture & Environment
9,7,2,2,11,9,12,4,6,9,3,8,9,9,8,6,9,1,2,10,4,9,Cybersecurity Analyst,ICT & Computing
11,2,8,12,4,12,6,5,3,12,7,4,9,9,5,4,9,2,4,7,3,9,AI Engineer,ICT & Computing
10,5,10,12,7,11,7,12,9,7,6,10,10,9,4,1,2,9,1,6,2,9,Actuary,Business & Finance
6,7,4,7,6,3,5,3,1,10,1,10,10,8,2,7,1,6,7,6,9,9,Welder,Skilled Trades & Technical
12,3,1,1,12,12,2,2,9,12,9,3,9,9,2,7,9,3,7,4,9,1,Mechanical Engineer,Engineering & Technology
10,4,8,10,9,5,11,10,10,5,9,12,5,3,8,8,8,8,10,6,8,8,Agronomist,Agriculture & Environment
10,5,3,5,2,11,9,3,8,12,9,3,9,9,1,2,9,8,8,3,4,8,Software Developer,ICT & Computing
8,1,9,12,2,11,7,2,10,9,12,11,7,4,5,9,5,2,3,1,9,8,Journalist,Creative Arts & Media
7,8,2,11,3,8,10,4,8,1,2,11,2,1,4,2,8,8,10,8,6,10,Police Officer,Security & Defense
1,4,8,8,6,2,11,3,6,1,5,11,9,4,5,9,5,9,9,2,9,3,Journalist,Creative Arts & Media
9,4,5,4,6,11,1,10,3,7,6,9,3,1,8,8,1,1,10,2,1,5,Hotel Manager,Hospitality & Tourism
12,10,12,1,1,2,6,5,7,10,5,12,2,4,9,7,6,4,7,10,7,5,Teacher,Education
12,5,8,1,6,2,12,5,11,9,12,10,3,9,6,9,6,7,8,5,8,9,Accountant,Business & Finance
3,9,8,8,9,5,4,12,5,4,11,8,1,5,9,6,3,9,9,2,7,5,Lawyer,Law & Governance
12,7,2,7,4,9,11,4,1,10,11,11,9,9,6,8,9,1,2,3,9,3,Electrical Engineer,Engineering & Technology
12,11,9,6,5,8,6,11,6,8,6,1,4,8,5,9,10,10,5,3,9,4,Animator,Creative Arts & Media
8,7,3,5,3,2,1,6,10,4,6,10,5,10,7,8,1,10,9,8,3,5,Logistics Officer,Transport & Aviation
1,10,8,10,6,4,6,1,7,11,4,9,9,6,6,9,2,1,8,8,9,4,Journalist,Creative Arts & Media
3,3,7,3,10,5,7,7,1,11,4,9,9,8,3,9,4,9,2,4,9,1,Graphic Designer,Creative Arts & Media
10,9,4,7,4,12,2,7,10,12,2,11,9,9,10,1,9,10,10,9,6,10,Mechanical Engineer,Engineering & Technology
11,4,9,9,8,3,11,11,1,10,11,10,9,5,8,4,6,1,2,8,2,1,Veterinary Officer,Agriculture & Environment
1,9,11,4,10,3,5,4,12,6,3,9,6,1,9,7,9,2,7,6,9,7,Teacher,Education
10,4,10,4,11,9,4,12,12,9,3,1,9,9,1,5,9,1,4,8,1,9,Cybersecurity Analyst,ICT & Computing
2,1,10,10,3,8,3,10,1,9,4,3,4,4,7,3,9,6,7,10,10,1,Logistics Officer,Transport & Aviation
11,1,11,7,4,2,6,1,2,11,11,12,8,1,1,10,9,10,4,9,2,10,Pilot,Transport & Aviation
1,1,2,7,1,5,7,6,5,12,6,11,1,3,7,8,10,1,6,3,5,8,Automotive Technician,Skilled Trades & Technical
9,3,5,12,3,4,7,7,10,6,3,1,6,9,1,1,7,7,1,9,9,9,Actuary,Business & Finance
9,1,7,6,7,4,1,4,10,1,3,5,6,9,3,9,10,2,2,4,1,9,Actuary,Business & Finance
3,2,12,12,4,5,9,1,7,5,2,12,4,8,8,4,4,2,2,10,2,10,Agronomist,Agriculture & Environment
12,4,12,3,3,8,6,1,10,3,9,11,2,8,10,9,5,5,9,2,8,10,Logistics Officer,Transport & Aviation
8,7,12,11,11,6,4,12,9,10,11,11,8,3,1,9,2,9,9,10,8,3,Lab Technologist,Health Sciences
12,10,5,1,6,3,3,8,11,9,9,12,3,1,9,4,8,5,1,4,4,10,Lecturer,Education
9,12,8,9,9,2,11,10,12,6,10,11,8,2,3,2,4,9,9,7,4,2,Agronomist,Agriculture & Environment
12,10,12,7,4,6,6,9,6,6,11,10,10,3,9,10,1,9,8,5,3,8,Judge,Law & Governance
2,5,1,12,4,7,7,12,3,2,5,1,10,3,7,9,4,7,6,5,9,1,Film Producer,Creative Arts & Media
12,10,3,11,7,12,11,9,5,2,5,9,10,9,9,9,6,2,5,9,2,7,Teacher,Education
11,1,8,9,7,6,12,6,2,4,1,11,3,8,10,1,6,2,5,6,2,1,Agronomist,Agriculture & Environment
12,6,1,4,10,9,4,1,12,9,6,5,9,9,9,2,9,7,1,3,1,6,Mechanical Engineer,Engineering & Technology
2,10,4,7,8,10,6,4,4,4,4,8,3,9,6,10,4,8,5,10,10,3,Police Officer,Security & Defense
1,8,10,11,5,12,9,5,6,3,11,9,9,10,1,6,1,1,8,1,10,1,Agronomist,Agriculture & Environment
7,12,3,12,5,1,11,5,3,10,6,12,7,9,8,8,5,6,2,1,9,5,Forester,Agriculture & Environment
11,1,2,2,6,10,1,10,7,4,2,10,6,3,4,9,7,5,8,1,9,1,Animator,Creative Arts & Media
8,5,4,9,2,3,11,11,6,12,12,9,9,10,3,1,4,10,1,3,9,3,Agronomist,Agriculture & Environment
7,4,12,12,10,7,10,11,3,11,8,12,3,6,4,8,2,5,6,2,8,1,Veterinary Officer,Agriculture & Environment
10,7,4,3,6,12,5,6,2,10,7,9,9,9,9,5,9,10,8,3,7,9,Civil Engineer,Engineering & Technology
6,9,6,12,10,3,11,11,5,7,4,9,6,9,4,9,3,6,1,7,5,9,Agronomist,Agriculture & Environment
12,1,3,9,7,11,10,6,8,12,8,7,4,2,1,3,5,1,10,2,1,6,Welder,Skilled Trades & Technical
12,6,8,1,5,10,7,10,9,10,1,4,9,9,9,1,9,10,10,4,2,8,Data Scientist,ICT & Computing
9,10,6,7,10,6,7,1,6,4,11,6,3,4,3,9,8,8,9,7,9,8,Graphic Designer,Creative Arts & Media
11,2,10,9,7,9,8,2,7,11,1,5,9,9,2,7,9,2,3,4,9,9,Electrical Engineer,Engineering & Technology
5,12,5,11,10,5,4,7,12,7,3,11,8,3,2,8,5,8,9,6,6,5,Pharmacist,Health Sciences
7,9,6,1,12,5,2,12,9,6,11,12,2,1,9,4,6,9,5,7,3,9,Public Administrator,Law & Governance
12,6,3,1,6,11,1,5,6,9,7,7,9,9,1,7,9,1,9,7,2,10,Electrical Engineer,Engineering & Technology
11,4,12,11,4,11,1,3,12,10,12,3,3,9,10,10,9,5,4,10,2,9,Actuary,Business & Finance
9,2,4,6,8,10,8,6,10,6,1,1,4,10,1,9,10,2,6,2,9,10,Journalist,Creative Arts & Media
10,9,5,2,4,11,6,6,3,11,7,12,9,2,5,9,5,2,6,8,9,7,Graphic Designer,Creative Arts & Media
12,2,7,2,1,11,10,2,7,6,2,5,7,7,4,9,1,8,8,5,9,1,Graphic Designer,Creative Arts & Media
11,1,8,7,9,12,11,10,4,12,1,6,9,9,8,10,9,4,9,4,4,6,Software Developer,ICT & Computing
11,6,7,3,5,10,1,5,2,12,4,10,9,9,1,1,9,7,1,3,8,8,Mechatronics Engineer,Engineering & Technology
11,9,11,6,10,5,7,7,1,11,4,1,7,7,10,4,3,9,4,3,6,7,Pilot,Transport & Aviation
2,4,9,6,4,3,4,8,5,1,2,6,4,7,7,9,1,9,3,9,4,2,Marine Engineer,Transport & Aviation
4,4,4,10,11,6,1,3,11,11,1,8,8,10,2,2,1,7,9,1,4,10,Clinical Officer,Health Sciences
12,6,10,7,10,3,5,2,9,11,5,5,7,9,9,9,8,9,3,1,7,9,Economist,Business & Finance
12,1,6,11,12,12,12,4,1,2,5,9,2,2,6,10,6,5,4,6,4,6,Environmental Scientist,Agriculture & Environment
12,3,10,12,3,2,8,10,12,12,1,12,2,2,2,1,3,1,4,8,5,3,Police Officer,Security & Defense
10,10,10,8,12,9,9,12,1,11,8,6,2,1,6,7,9,8,1,9,9,4,Military Officer,Security & Defense
2,8,12,1,5,2,3,2,2,2,7,5,2,6,6,3,7,4,10,5,9,7,Police Officer,Security & Defense
6,12,3,5,6,4,3,11,7,3,12,11,3,3,9,10,3,9,9,5,2,6,Public Administrator,Law & Governance
11,8,2,4,1,11,8,5,9,10,12,12,9,9,7,8,9,7,9,6,9,10,Mechanical Engineer,Engineering & Technology
2,12,5,10,1,3,11,1,12,12,10,10,3,2,7,7,3,7,5,4,3,9,Veterinary Officer,Agriculture & Environment
1,12,9,3,8,3,6,10,10,8,4,6,7,5,6,6,10,6,3,6,2,8,Logistics Officer,Transport & Aviation
3,6,1,2,10,12,10,9,8,1,8,3,4,4,10,1,8,1,2,5,6,7,Hotel Manager,Hospitality & Tourism
12,4,8,4,9,7,9,1,3,8,1,10,5,8,6,7,7,5,10,6,8,10,Automotive Technician,Skilled Trades & Technical
9,11,2,10,11,9,1,6,7,4,8,10,8,10,7,1,10,8,9,2,5,4,Doctor,Health Sciences
12,10,7,11,9,5,5,4,8,5,5,5,3,5,2,9,8,3,3,7,9,9,Graphic Designer,Creative Arts & Media
11,2,10,6,11,7,2,4,2,4,11,11,10,4,10,9,8,10,2,6,9,7,Graphic Designer,Creative Arts & Media
11,1,11,11,8,11,2,3,5,11,5,2,9,9,8,3,9,7,6,1,4,3,Data Scientist,ICT & Computing
7,9,4,6,7,9,6,3,6,5,11,9,5,4,6,8,7,7,5,7,7,9,Automotive Technician,Skilled Trades & Technical
12,11,10,12,7,2,9,1,12,1,11,10,9,3,10,9,4,7,8,6,7,9,Environmental Scientist,Agriculture & Environment
12,12,9,12,11,6,8,2,1,11,4,1,6,7,7,2,3,8,2,1,9,5,Chef,Hospitality & Tourism
12,5,10,10,10,1,6,5,12,5,6,2,8,7,4,4,2,4,9,4,7,4,Doctor,Health Sciences
7,11,5,1,11,9,6,5,12,12,6,9,5,1,7,6,4,2,5,5,9,10,Welder,Skilled Trades & Technical
12,10,12,6,11,12,5,8,8,12,9,9,9,9,10,10,9,2,1,8,1,1,Civil Engineer,Engineering & Technology
1,1,4,9,3,2,9,5,11,7,9,12,2,3,7,8,4,1,9,5,4,7,Agronomist,Agriculture & Environment
1,7,1,9,3,6,9,1,9,10,10,9,5,2,9,4,7,7,3,8,5,5,Electrician,Skilled Trades & Technical
2,12,1,2,11,11,6,7,8,6,4,5,5,10,7,1,6,6,7,1,7,8,Military Officer,Security & Defense
5,6,9,9,6,11,11,4,6,6,11,12,7,4,9,7,6,2,9,1,8,10,Veterinary Officer,Agriculture & Environment
8,11,9,9,1,12,12,11,5,11,4,11,2,7,5,9,3,1,6,7,4,6,Veterinary Officer,Agriculture & Environment
6,11,10,11,10,6,11,10,2,10,12,9,6,1,9,6,6,8,8,7,6,5,Environmental Scientist,Agriculture & Environment
12,10,9,3,3,11,4,7,2,12,4,9,9,9,7,7,9,10,9,9,5,9,Electrical Engineer,Engineering & Technology
2,10,4,2,5,4,2,10,8,6,7,4,2,3,3,9,6,6,5,2,4,3,Chef,Hospitality & Tourism
11,1,12,9,4,12,4,12,11,1,9,10,10,2,6,4,1,2,8,3,8,3,Police Officer,Security & Defense
8,9,12,3,1,6,7,1,5,6,6,7,1,10,10,9,3,9,2,3,9,2,Graphic Designer,Creative Arts & Media
7,4,2,10,4,9,12,3,5,4,1,11,10,9,9,1,2,2,2,2,6,1,Automotive Technician,Skilled Trades & Technical
5,10,1,12,9,3,6,10,7,3,4,3,9,3,6,7,7,9,7,2,6,9,Welder,Skilled Trades & Technical
7,12,7,9,3,3,5,2,6,11,3,3,8,3,5,7,6,7,3,3,4,5,Electrician,Skilled Trades & Technical
12,9,6,5,3,12,9,4,11,7,5,10,5,5,1,4,7,2,9,7,3,6,Hotel Manager,Hospitality & Tourism
5,1,3,12,10,10,7,5,2,8,3,9,8,5,2,9,5,4,9,5,5,10,Lab Technologist,Health Sciences
12,1,8,9,6,12,11,10,4,12,7,6,9,9,1,10,9,1,9,1,2,10,Data Scientist,ICT & Computing
12,4,1,10,5,8,6,2,12,12,6,6,8,9,10,8,9,7,7,2,5,9,Banker,Business & Finance
6,12,10,11,4,12,3,12,3,9,3,11,3,10,9,4,7,9,6,6,3,2,Judge,Law & Governance
12,8,11,9,6,10,1,2,1,12,12,5,9,9,2,4,9,9,7,4,1,9,Mechatronics Engineer,Engineering & Technology
3,12,1,10,10,9,10,10,11,6,9,5,9,1,4,3,3,8,9,4,10,10,Police Officer,Security & Defense
12,9,10,12,6,2,12,11,9,4,1,9,3,2,6,1,10,8,9,6,4,8,Forester,Agriculture & Environment
12,10,3,8,7,10,5,7,4,12,9,8,9,9,7,5,9,8,6,6,7,8,Cybersecurity Analyst,ICT & Computing
11,10,12,12,12,6,4,11,6,12,1,3,5,5,9,10,8,9,7,4,7,2,Public Administrator,Law & Governance
11,6,10,6,7,6,3,6,12,11,6,5,7,9,9,2,8,10,5,5,2,9,Economist,Business & Finance
10,11,5,3,7,7,10,1,10,4,9,11,1,4,1,10,10,4,4,8,5,10,Marine Engineer,Transport & Aviation
5,11,7,11,11,3,5,2,8,10,3,12,3,6,9,3,4,6,4,5,1,8,Tour Guide,Hospitality & Tourism
12,6,1,6,6,5,1,11,4,9,7,7,9,4,3,10,8,9,5,7,5,9,Military Officer,Security & Defense
3,8,2,10,11,12,11,5,4,3,4,1,7,6,6,5,10,7,7,10,4,5,Chef,Hospitality & Tourism
3,8,7,9,4,8,12,6,7,6,12,10,3,1,4,4,4,6,1,2,9,9,Veterinary Officer,Agriculture & Environment
9,3,10,9,11,10,5,2,2,9,2,8,9,9,1,6,9,1,7,4,6,6,Civil Engineer,Engineering & Technology
3,12,7,12,3,12,10,11,10,9,7,9,3,2,5,9,10,7,4,10,4,5,Chef,Hospitality & Tourism
12,2,7,9,4,7,1,5,2,6,8,2,2,9,10,9,6,2,1,7,9,6,Film Producer,Creative Arts & Media
10,12,6,11,10,12,2,3,3,12,10,8,9,9,10,10,9,9,1,4,3,8,Cybersecurity Analyst,ICT & Computing
10,2,3,3,5,11,6,9,1,12,3,12,9,9,9,4,9,6,1,2,9,7,Electrical Engineer,Engineering & Technology
9,4,9,10,12,12,3,12,2,10,9,10,9,9,2,9,9,5,7,9,7,4,Electrical Engineer,Engineering & Technology
12,2,11,9,7,12,3,12,12,10,6,5,9,9,6,6,9,9,10,9,8,9,Electrical Engineer,Engineering & Technology
2,8,7,1,2,5,7,2,6,2,4,3,9,8,8,10,5,8,9,8,4,6,Tour Guide,Hospitality & Tourism
3,10,6,5,7,3,3,10,10,3,10,1,4,8,9,4,10,9,4,8,4,1,Judge,Law & Governance
12,1,12,11,12,4,3,1,6,2,5,3,4,4,9,9,9,7,2,10,9,3,Graphic Designer,Creative Arts & Media
11,4,3,5,7,3,4,5,12,2,6,8,8,8,7,1,6,3,5,7,1,3,Tour Guide,Hospitality & Tourism
11,5,9,5,6,12,9,10,7,11,1,6,9,9,8,9,9,9,1,2,10,9,AI Engineer,ICT & Computing
8,10,11,11,3,6,3,9,12,9,11,2,2,8,9,6,3,9,6,7,9,5,Lawyer,Law & Governance
11,11,10,3,3,4,6,5,9,8,9,7,1,9,6,7,9,5,2,1,10,9,Economist,Business & Finance
5,2,7,10,10,5,1,4,6,9,9,4,6,4,1,5,1,4,8,7,5,5,Pilot,Transport & Aviation
6,9,2,1,3,8,3,12,6,8,2,2,3,3,8,2,7,5,2,7,1,1,Police Officer,Security & Defense
5,1,6,11,9,9,1,3,10,2,8,1,6,2,6,8,10,8,6,7,6,5,Tour Guide,Hospitality & Tourism
5,4,8,3,3,6,10,2,1,3,12,3,9,5,4,6,9,2,10,2,1,9,Tour Guide,Hospitality & Tourism
7,3,10,7,1,11,4,9,4,8,4,9,4,3,7,9,9,9,5,3,2,1,Tour Guide,Hospitality & Tourism
10,5,12,11,9,12,1,10,12,9,5,1,9,9,2,2,9,2,7,4,1,1,Cybersecurity Analyst,ICT & Computing
2,8,1,8,3,1,7,11,9,6,8,4,8,5,2,6,2,3,2,2,2,8,Military Officer,Security & Defense
5,2,2,12,4,8,9,6,4,5,1,12,7,2,6,8,10,8,7,2,1,7,Agronomist,Agriculture & Environment
9,8,7,2,12,12,5,10,12,9,2,3,4,9,4,7,3,2,5,6,1,9,Banker,Business & Finance
7,11,2,2,11,11,5,1,10,5,2,9,10,7,8,7,3,6,7,6,2,1,Chef,Hospitality & Tourism
7,5,8,3,9,12,6,12,10,12,4,1,4,6,2,7,9,5,1,8,7,6,Military Officer,Security & Defense
7,7,11,6,4,6,2,8,1,4,2,2,5,4,2,3,5,3,2,8,9,1,Police Officer,Security & Defense
5,6,2,9,9,3,10,5,8,9,4,4,4,4,8,9,1,1,2,9,9,6,Film Producer,Creative Arts & Media
10,10,6,12,3,12,1,2,11,12,8,12,9,9,4,5,9,2,7,3,9,8,Electrical Engineer,Engineering & Technology
11,2,2,2,11,9,11,4,4,9,7,9,9,9,3,6,9,9,6,5,10,10,AI Engineer,ICT & Computing
6,12,7,2,4,2,11,12,12,5,11,9,10,7,9,1,9,9,9,1,8,9,Public Administrator,Law & Governance
3,1,4,9,3,1,12,8,1,7,7,11,10,6,7,1,10,3,8,6,7,8,Veterinary Officer,Agriculture & Environment
3,7,7,6,5,9,8,6,1,2,9,1,3,7,1,2,6,4,7,4,10,10,Police Officer,Security & Defense
10,3,8,9,10,3,9,11,8,6,6,11,3,1,4,7,2,10,8,7,3,6,Forester,Agriculture & Environment
7,10,2,11,1,4,1,9,1,5,1,12,8,4,9,4,8,9,10,8,2,1,Lawyer,Law & Governance
9,1,9,1,9,4,2,1,7,10,7,5,4,4,8,8,1,1,10,9,6,4,Police Officer,Security & Defense
12,4,10,6,8,9,6,8,10,12,8,2,9,9,8,8,9,2,4,4,6,7,Mechatronics Engineer,Engineering & Technology
6,2,3,3,2,2,3,7,2,9,3,3,4,3,10,10,6,10,3,3,6,5,Police Officer,Security & Defense
5,6,1,5,10,9,10,11,1,6,7,11,6,7,8,9,5,1,7,2,9,5,Film Producer,Creative Arts & Media
6,1,2,7,3,2,12,10,10,10,5,4,10,5,5,5,9,1,9,1,9,5,Tour Guide,Hospitality & Tourism
4,4,1,12,4,3,9,8,5,3,3,9,5,9,10,7,6,7,3,7,8,9,Forester,Agriculture & Environment
3,5,10,8,9,6,8,1,9,3,6,6,5,1,2,3,2,8,6,3,3,3,Military Officer,Security & Defense
7,12,11,11,2,3,6,9,8,1,3,4,5,8,9,1,9,9,1,4,9,9,Lawyer,Law & Governance
11,12,9,1,11,6,4,10,9,3,7,3,1,3,9,2,4,4,9,5,2,2,Education Officer,Education
3,7,10,5,6,11,5,5,6,11,3,11,10,3,7,3,7,7,8,2,5,7,Electrician,Skilled Trades & Technical
4,3,11,12,12,8,10,11,3,5,6,2,9,1,9,2,10,8,3,9,10,6,Tour Guide,Hospitality & Tourism
1,10,12,12,12,3,12,8,8,12,9,6,8,9,5,4,4,2,9,2,8,4,Nurse,Health Sciences
6,10,9,7,11,5,9,7,11,8,10,6,7,1,5,6,6,10,4,3,5,2,Welder,Skilled Trades & Technical
9,3,6,3,5,1,8,11,7,8,1,10,5,9,9,8,5,1,4,8,2,7,Marine Engineer,Transport & Aviation
11,6,4,6,1,11,5,9,11,9,11,6,9,9,9,1,9,8,3,4,2,2,Electrical Engineer,Engineering & Technology
2,1,12,6,4,7,3,3,4,10,4,3,3,6,2,1,3,5,4,2,6,2,Pilot,Transport & Aviation
5,7,4,9,10,2,8,9,2,8,5,8,8,9,8,7,4,2,9,1,6,6,Clinical Officer,Health Sciences
8,9,7,12,11,7,10,3,11,4,3,11,5,5,2,9,7,8,10,2,8,6,Environmental Scientist,Agriculture & Environment
9,1,3,11,9,8,4,9,4,8,8,4,8,5,5,5,5,4,9,3,6,6,Pharmacist,Health Sciences
1,12,9,3,10,2,5,5,9,1,3,3,10,7,9,8,7,4,5,9,6,8,Education Officer,Education
9,7,8,9,9,4,4,3,4,11,2,12,8,3,4,7,6,3,9,1,3,6,Lab Technologist,Health Sciences
11,3,5,10,8,11,11,8,3,12,6,8,9,9,1,1,9,6,7,1,7,8,Data Scientist,ICT & Computing
6,4,11,4,12,9,7,3,6,7,6,10,7,1,2,8,9,2,4,6,10,10,Tour Guide,Hospitality & Tourism
12,7,3,2,3,2,4,5,10,10,6,1,10,1,3,6,10,1,10,1,7,2,Marine Engineer,Transport & Aviation
12,12,2,6,9,5,4,7,8,9,7,10,3,5,10,9,3,1,3,3,9,7,Film Producer,Creative Arts & Media
11,12,7,8,7,11,3,5,8,12,2,11,9,9,6,5,9,7,4,1,10,10,Software Developer,ICT & Computing
10,8,10,12,10,9,9,12,8,11,6,9,9,9,7,9,9,6,10,3,7,4,Mechatronics Engineer,Engineering & Technology
8,6,12,5,5,12,6,12,6,5,2,2,3,10,9,9,2,3,4,3,9,4,Film Producer,Creative Arts & Media
2,1,8,11,7,9,12,6,12,11,5,10,10,1,1,9,4,1,7,3,4,9,Agronomist,Agriculture & Environment
6,10,12,3,12,4,12,7,5,1,11,4,6,4,2,10,2,1,3,6,8,4,Logistics Officer,Transport & Aviation
3,6,7,11,11,6,2,6,10,1,4,7,8,5,6,7,7,1,9,6,4,8,Doctor,Health Sciences
1,10,5,6,3,5,8,10,7,12,6,4,8,10,9,2,5,9,8,7,8,10,Public Administrator,Law & Governance
4,5,2,4,5,12,8,4,12,10,6,10,9,8,4,10,6,6,1,6,8,8,Tour Guide,Hospitality & Tourism
12,10,7,10,2,11,1,8,11,9,9,4,9,9,3,9,9,7,5,3,2,4,Mechanical Engineer,Engineering & Technology
11,9,12,11,12,8,5,2,8,1,3,10,7,7,9,10,6,7,1,6,3,2,Police Officer,Security & Defense
3,4,6,8,7,7,12,7,9,9,9,11,7,10,5,2,7,8,7,1,5,9,Welder,Skilled Trades & Technical
6,7,1,4,11,4,8,8,6,8,8,12,1,10,9,4,4,7,7,10,6,8,Hotel Manager,Hospitality & Tourism
11,3,4,12,10,12,5,9,8,11,7,10,9,9,10,4,9,9,6,10,5,7,Mechatronics Engineer,Engineering & Technology
12,1,1,12,11,3,8,3,1,1,10,6,8,4,4,5,10,3,9,4,6,8,Nurse,Health Sciences
9,3,11,9,11,6,6,3,11,5,12,11,8,1,2,10,2,9,9,10,5,5,Doctor,Health Sciences
2,1,8,8,2,6,1,4,10,2,4,7,2,4,5,9,4,5,3,2,2,7,Electrician,Skilled Trades & Technical
10,6,12,3,11,12,6,4,7,2,10,4,6,5,9,10,3,8,6,7,9,7,Automotive Technician,Skilled Trades & Technical
11,10,4,10,7,9,6,3,9,9,7,1,1,9,5,9,4,2,8,4,9,10,Journalist,Creative Arts & Media
9,12,3,12,12,11,11,8,11,7,2,10,1,9,4,6,8,4,2,10,9,9,Accountant,Business & Finance
10,1,10,8,11,12,3,2,10,11,1,10,9,9,2,10,9,9,5,7,10,5,Mechatronics Engineer,Engineering & Technology
12,5,2,10,2,12,9,10,4,10,8,6,9,9,1,5,9,5,6,5,5,9,Data Scientist,ICT & Computing
10,10,11,5,2,8,6,5,10,10,3,2,5,9,6,4,3,5,6,4,6,9,Actuary,Business & Finance
10,3,9,10,11,12,7,11,1,11,10,3,9,9,1,10,9,2,2,8,1,2,Electrical Engineer,Engineering & Technology
2,9,2,3,7,4,10,3,5,10,2,11,3,4,4,6,2,8,9,1,1,6,Hotel Manager,Hospitality & Tourism
11,6,3,4,10,7,2,4,6,10,3,1,6,2,1,4,8,7,3,6,5,1,Electrician,Skilled Trades & Technical
12,5,10,1,11,10,4,11,3,12,6,12,9,9,7,8,9,5,6,4,6,10,Civil Engineer,Engineering & Technology
10,5,3,9,7,8,4,7,4,12,2,5,5,4,6,6,9,6,9,6,1,3,Logistics Officer,Transport & Aviation
1,2,9,4,4,9,5,11,4,5,4,10,4,2,4,10,7,10,5,5,4,8,Chef,Hospitality & Tourism
1,12,9,11,9,7,9,12,9,11,1,3,8,1,7,6,2,6,9,10,7,8,Lab Technologist,Health Sciences
10,10,8,4,8,9,12,10,9,3,10,2,7,9,9,7,9,9,4,2,3,6,Public Administrator,Law & Governance
